BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,A,2,3,5,M/R,M/V,M,0.06,0.06,0.11
0,0,A,A,S,1.5,2.8,4.8,M/R,M/V,M,0.06,0.08,0.06
0,0,A,A,A,1.6,2.8,4.3,R,M,M,0.09,0.09,0.13
0,0,A,A,A,1.7,2.8,4.3,R,M,M,0,0.18,0.19
0,0,A,A,A,1.9,2.9,4.2,R,M/R,M,0.03,0.12,0.16
1,0,A,A,A,0.7,1.5,4.7,M/R,R,M/R,0.05,0.01,0.07
2,0,A,A,A,0.6,1.9,6.7,M/R,R,M/R,0,0.09,0.09
0,0,A,A,A,0.5,2.3,7.1,R,M/R,M/R,0,0.03,0.11
0,0,A,A,A,0.5,2,5.7,R,M/V,M,0.11,0.02,0.19
0,0,A,A,A,0.4,1.9,4.7,M/R,M/R,M,0.02,0.12,0.11
0,0,A,A,A,0.05,2,4.4,M/R,R,M,0,0.02,0.13
1,0,A,A,S,1,2.6,6.5,R,M/R,M,0,0.03,0.14
0,0,A,A,A,0.7,1.3,2.4,M/R,M,M/V,0,0.04,0.03
0,0,A,A,A,0.5,1.9,4.6,M/R,R,M,0,0.05,0.18
0,0,A,A,A,0.4,1.8,5,M/R,M/R,M,0,0.01,0.25
0,0,A,A,A,0.7,2.1,4.3,M/R,M/R,M,0,0.04,0.12
0,0,A,A,S,0.6,1.7,4.8,M/R,M/R,M,0,0.02,0.17
0,0,A,A,S,0.5,2.1,3.7,R,M/V,M/R,0,0.01,0.13
0,0,A,A,A,0.6,1.6,6.2,M/R,R,M/R,0,0,0.03
0,0,A,A,A,0.5,1.3,5.1,M/R,R,M,0,0.07,0.14
1,0,A,A,A,0.4,1.7,4.6,R,R,M/R,0.03,0.03,0.12
0,0,A,A,A,0.3,2.8,7.2,R,R,M/R,0,0.1,0.39
0,0,A,A,A,1.4,2.4,4.4,M,M,M,0.4,0.42,0.78
0,1,A,A,D,1.9,6.4,9.7,M,M,M,0.27,0.68,0.88
0,0,A,A,M,1.5,3.9,6.6,M,M,M,0.05,0.36,0.71
0,0,A,A,S,1.1,3.1,5.7,M,M,M,0.05,0.1,0.35
0,0,A,A,S,1.2,2.9,5,M,M,M,0.06,0.62,0.71
0,0,A,A,A,1,2.4,4.8,M,M,M,0.08,0.13,0.15
0,0,A,A,S,0.9,1.9,3.8,M,M,M,0.26,0.36,0.69
0,0,A,A,D,2.3,6.9,8.7,M,M,M,0.56,0.53,0.52
0,0,A,A,S,1,2.9,5.6,M,M,M,0.06,0.52,0.92
0,0,A,A,A,1,2.9,5.4,M,M,M,0.02,0.18,0.6
0,0,A,A,S,1.2,2.9,6,M,M,M,0.03,0.12,0.51
0,0,A,A,S,1.1,3.6,7.3,M,M,M,0.03,0.16,0.48
0,0,A,A,M,1.1,3.3,5.8,M,M,M,0.2,0.35,0.68
0,0,A,A,A,0.9,3.2,5.5,M,M,M,0.19,0.11,0.16
0,0,A,A,S,1.3,2.7,3.9,M,M,M,0.48,0.81,0.99
0,1,A,A,S,1.2,3.1,4.9,M,M,M,0.27,0.5,0.88
